3.1815e-05 -3.2569e-05 -1.0038e+00 -1.0038e+00
3.2034e-05 -3.2790e-05 -1.0037e+00 -1.0037e+00
3.2254e-05 -3.3009e-05 -1.0035e+00 -1.0035e+00
3.4941e-05 -3.5704e-05 -1.0020e+00 -1.0020e+00
3.7065e-03 -3.5380e-03 -9.5367e-01 -9.5367e-01
7.3780e-03 -7.0585e-03 -9.6402e-01 -9.6397e-01
1.1049e-02 -1.0615e-02 -9.7301e-01 -9.7287e-01
1.4721e-02 -1.4201e-02 -9.8040e-01 -9.8017e-01
1.8393e-02 -1.7813e-02 -9.8654e-01 -9.8621e-01
2.2064e-02 -2.1444e-02 -9.9170e-01 -9.9126e-01
2.5736e-02 -2.5094e-02 -9.9606e-01 -9.9552e-01
2.9407e-02 -2.8758e-02 -9.9979e-01 -9.9915e-01
3.3079e-02 -3.2435e-02 -1.0030e+00 -1.0022e+00
3.6750e-02 -3.6122e-02 -1.0057e+00 -1.0049e+00
4.0422e-02 -3.9819e-02 -1.0081e+00 -1.0072e+00
4.4093e-02 -4.3525e-02 -1.0102e+00 -1.0092e+00
4.7765e-02 -4.7237e-02 -1.0119e+00 -1.0108e+00
5.1436e-02 -5.0955e-02 -1.0134e+00 -1.0123e+00
5.5108e-02 -5.4678e-02 -1.0147e+00 -1.0135e+00
5.8779e-02 -5.8406e-02 -1.0158e+00 -1.0145e+00
6.2451e-02 -6.2137e-02 -1.0167e+00 -1.0153e+00
6.6122e-02 -6.5872e-02 -1.0174e+00 -1.0160e+00
6.9794e-02 -6.9608e-02 -1.0180e+00 -1.0166e+00
7.3465e-02 -7.3346e-02 -1.0185e+00 -1.0170e+00
7.7137e-02 -7.7086e-02 -1.0188e+00 -1.0173e+00
8.0808e-02 -8.0827e-02 -1.0190e+00 -1.0174e+00
8.4480e-02 -8.4568e-02 -1.0190e+00 -1.0175e+00
8.8151e-02 -8.8310e-02 -1.0190e+00 -1.0175e+00
9.1823e-02 -9.2051e-02 -1.0189e+00 -1.0174e+00
9.5494e-02 -9.5792e-02 -1.0187e+00 -1.0172e+00
9.9166e-02 -9.9531e-02 -1.0184e+00 -1.0169e+00
1.0284e-01 -1.0327e-01 -1.0180e+00 -1.0166e+00
1.0651e-01 -1.0701e-01 -1.0175e+00 -1.0162e+00
1.1018e-01 -1.1074e-01 -1.0170e+00 -1.0157e+00
1.1385e-01 -1.1447e-01 -1.0164e+00 -1.0152e+00
1.1752e-01 -1.1820e-01 -1.0157e+00 -1.0146e+00
1.2120e-01 -1.2193e-01 -1.0150e+00 -1.0139e+00
1.2487e-01 -1.2566e-01 -1.0142e+00 -1.0132e+00
1.2854e-01 -1.2938e-01 -1.0133e+00 -1.0125e+00
1.3221e-01 -1.3310e-01 -1.0124e+00 -1.0117e+00
1.3588e-01 -1.3681e-01 -1.0114e+00 -1.0108e+00
1.3955e-01 -1.4053e-01 -1.0104e+00 -1.0099e+00
1.4322e-01 -1.4423e-01 -1.0093e+00 -1.0090e+00
1.4690e-01 -1.4794e-01 -1.0082e+00 -1.0080e+00
1.5057e-01 -1.5164e-01 -1.0070e+00 -1.0070e+00
1.5424e-01 -1.5533e-01 -1.0058e+00 -1.0060e+00
1.5791e-01 -1.5902e-01 -1.0045e+00 -1.0049e+00
1.6158e-01 -1.6271e-01 -1.0032e+00 -1.0038e+00
1.6525e-01 -1.6639e-01 -1.0018e+00 -1.0026e+00
1.6892e-01 -1.7006e-01 -1.0004e+00 -1.0014e+00
1.7260e-01 -1.7373e-01 -9.9891e-01 -1.0002e+00
